Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,Left Eyebrow to Eye Height,Right Eyebrow to Eye Height,Mouth Width,Mouth Height,
Scared,15.033296,14.000000,16.763055,18.027756,55.758407,49.030603,49.000000,102.019606,
Scared,14.035669,15.033296,17.464249,17.088007,54.708317,48.052055,47.010637,102.044108,
Scared,14.000000,15.033296,17.464249,17.464249,54.203321,47.853944,48.010416,100.044990,
Scared,15.000000,13.152946,17.464249,17.464249,54.378304,48.836462,49.010203,102.019606,
Scared,14.000000,15.033296,18.248288,17.088007,54.708317,47.853944,49.010203,101.079177,
Scared,14.000000,15.033296,18.439089,17.464249,54.708317,48.052055,47.010637,102.044108,
Scared,14.000000,15.033296,17.720045,17.088007,54.918121,47.074409,46.010868,102.044108,
Scared,15.000000,15.033296,17.464249,18.027756,52.697249,48.052055,49.010203,100.044990,
Scared,14.000000,15.132746,18.248288,17.088007,54.378304,47.074409,47.010637,100.044990,
Surprised,17.000000,16.031220,18.439089,18.384776,55.470713,48.270074,72.062473,91.049437,
Surprised,16.000000,16.124515,18.439089,17.464249,55.758407,48.836462,73.109507,92.135769,
Surprised,15.033296,16.124515,17.464249,18.788294,56.302753,47.853944,72.111026,90.138782,
Surprised,16.031220,16.124515,19.416488,18.788294,56.302753,49.030603,73.061618,92.086915,
Surprised,16.000000,16.124515,20.615528,18.788294,57.140179,49.030603,74.168727,92.086915,
Surprised,16.000000,17.117243,19.416488,18.384776,54.378304,49.030603,75.059976,91.021975,
Surprised,15.033296,16.031220,18.439089,19.313208,55.470713,48.270074,74.108029,90.088845,
Surprised,16.031220,17.117243,19.646883,19.697716,55.470713,47.853944,75.166482,91.049437,
Surprised,16.031220,17.117243,18.681542,18.384776,54.644304,47.296934,74.168727,91.049437,
Surprised,16.031220,16.278821,19.416488,19.697716,55.758407,48.662100,74.108029,91.049437,
Surprised,17.029386,17.029386,17.720045,19.313208,55.217751,48.052055,73.109507,90.088845,
Surprised,16.000000,16.124515,19.646883,18.384776,54.918121,48.836462,75.106591,91.087870,
Surprised,15.000000,15.132746,19.416488,19.313208,54.918121,48.836462,75.166482,91.049437,
Surprised,15.033296,15.132746,19.416488,18.788294,54.918121,47.675990,74.060786,91.021975,
Surprised,17.000000,16.124515,18.681542,18.788294,54.918121,48.836462,75.166482,91.049437,
Surprised,16.031220,15.132746,19.416488,18.788294,55.758407,48.662100,75.166482,92.135769,
Surprised,15.000000,16.031220,18.681542,18.384776,54.918121,48.836462,76.164296,92.048900,
Surprised,16.031220,16.124515,18.681542,19.697716,54.918121,49.819675,77.317527,91.049437,
Surprised,16.000000,16.031220,18.681542,19.313208,56.302753,49.030603,74.060786,91.049437,
Doubt,17.029386,16.278821,18.439089,15.231546,49.578221,37.000000,30.149627,96.420952,
Doubt,17.000000,16.031220,17.720045,14.317821,49.578221,37.696154,31.144823,95.425364,
Doubt,16.000000,16.278821,17.720045,14.866069,50.990195,38.275318,30.066593,96.420952,
Doubt,15.132746,15.132746,18.681542,13.928388,51.088159,38.626416,30.149627,96.420952,
Doubt,16.000000,16.031220,17.720045,13.928388,50.990195,37.696154,30.149627,96.332757,
Doubt,15.033296,15.033296,17.720045,16.155494,49.678969,38.275318,30.149627,95.425364,
Doubt,17.000000,16.031220,18.681542,14.866069,48.918299,37.336309,30.149627,97.329338,
Doubt,17.000000,16.124515,17.720045,15.231546,48.918299,37.947332,31.144823,98.412398,
Doubt,16.031220,16.124515,18.681542,15.231546,49.678969,37.947332,31.144823,96.420952,
Doubt,17.029386,16.124515,17.720045,15.652476,48.270074,37.643060,29.154759,96.420952,
Doubt,16.000000,16.124515,17.720045,15.652476,49.678969,37.643060,30.149627,97.329338,
Doubt,17.029386,15.033296,18.027756,14.317821,48.918299,37.947332,30.149627,96.254870,
Doubt,16.031220,16.124515,17.720045,13.928388,48.918299,37.947332,31.144823,96.420952,
Doubt,16.000000,16.124515,18.439089,14.764823,49.040799,37.643060,30.066593,96.187317,
Doubt,15.033296,16.124515,18.439089,14.317821,50.447993,37.947332,30.149627,96.332757,
Doubt,16.031220,15.033296,17.720045,15.231546,50.447993,39.217343,30.066593,96.332757,
Doubt,16.000000,16.124515,18.439089,15.811388,49.578221,37.947332,30.149627,95.257546,
Doubt,15.033296,14.035669,17.720045,15.231546,50.447993,38.897301,30.149627,94.260278,
