Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthWidth,MouthHeight,Timestamp
Angry,8.062258,8.000000,17.262677,17.088007,45.000000,41.000000,58.215118,110.113578,7.098000ms,
Angry,8.062258,8.000000,14.560220,17.088007,42.638011,39.623226,58.137767,112.040171,7.199000ms,
Angry,9.055385,10.000000,17.464249,15.811388,45.607017,39.293765,60.074953,109.114619,7.335000ms,
Angry,9.000000,9.055385,14.317821,15.297059,42.638011,39.293765,56.080300,113.004425,7.455000ms,
Angry,9.219544,9.486833,15.524175,15.811388,43.011626,39.623226,59.211485,114.017543,7.657000ms,
Angry,9.219544,9.486833,15.524175,15.811388,42.801869,39.812058,58.215118,114.017543,7.755000ms,
Angry,9.219544,9.219544,16.763055,16.763055,44.407207,40.607881,58.077534,111.018017,7.882000ms,
Angry,9.000000,9.219544,15.524175,14.560220,44.204072,38.832976,58.008620,112.004464,8.002000ms,
Angry,9.000000,9.055385,14.317821,16.155494,43.416587,40.024992,56.080300,109.004587,8.216000ms,
Angry,10.000000,10.198039,15.524175,14.866069,45.453273,40.792156,55.081757,111.004504,8.321000ms,
Angry,11.045361,10.440307,16.492423,16.763055,45.803930,42.579338,55.226805,108.041659,8.440000ms,
Angry,10.000000,11.000000,15.524175,16.552945,47.010637,42.426407,53.235327,108.041659,8.545000ms,
Scared,10.049876,9.000000,21.189620,21.023796,58.523500,58.215118,53.009433,108.041659,8.661000ms,
Scared,10.000000,9.219544,19.924859,18.384776,62.265560,63.198101,53.009433,105.042848,8.761000ms,
Scared,13.000000,13.000000,19.416488,18.788294,60.539243,59.211485,53.037722,103.043680,8.863000ms,
Scared,13.038405,13.341664,18.027756,19.235384,60.033324,60.207973,54.037024,104.076895,8.955000ms,
Scared,14.035669,14.142136,18.027756,20.124612,59.169249,58.309519,53.037722,102.044108,9.057000ms,
Scared,13.000000,14.142136,18.681542,17.888544,60.901560,57.218878,54.037024,103.077641,9.170000ms,
Scared,13.000000,14.142136,19.646883,18.788294,60.901560,57.218878,54.037024,103.043680,9.285000ms,
Scared,14.035669,14.000000,20.880613,18.788294,58.180753,56.222771,54.037024,102.044108,9.384000ms,
Scared,14.035669,14.000000,19.924859,20.124612,59.539903,57.314920,52.086467,104.043260,9.499000ms,
Scared,15.000000,14.035669,20.615528,18.788294,59.169249,55.326305,54.037024,103.043680,9.608000ms,
Scared,13.000000,14.035669,19.416488,17.888544,59.169249,56.320511,52.038447,103.077641,9.713000ms,
Scared,15.000000,13.000000,19.924859,18.357560,57.801384,56.320511,53.150729,104.043260,9.819000ms,
Scared,14.000000,15.000000,18.973666,19.697716,57.801384,57.428216,52.038447,104.043260,9.933000ms,
Scared,14.000000,14.000000,18.681542,18.788294,56.938563,56.320511,52.038447,101.044545,10.043000ms,
Scared,14.000000,14.000000,18.973666,18.788294,56.938563,56.320511,54.037024,104.043260,10.146000ms,
Scared,13.000000,14.035669,20.615528,17.888544,60.901560,56.320511,52.038447,101.079177,10.244000ms,
Scared,15.000000,14.035669,19.646883,17.000000,59.169249,55.326305,52.038447,103.043680,10.343000ms,
Scared,14.000000,14.000000,18.973666,18.788294,57.801384,55.326305,52.153619,104.043260,10.454000ms,
Scared,14.000000,14.000000,19.646883,18.788294,58.668561,56.222771,52.038447,102.044108,10.557000ms,
Scared,14.000000,15.033296,19.646883,17.492856,60.033324,55.226805,52.038447,101.123687,10.668000ms,
Scared,13.000000,14.035669,20.615528,17.888544,60.901560,56.320511,52.038447,101.044545,10.785000ms,
Scared,14.000000,15.000000,19.646883,20.615528,58.668561,56.320511,52.239832,102.044108,10.880000ms,
Scared,14.000000,15.033296,19.924859,19.235384,58.668561,56.320511,52.038447,99.020200,10.991000ms,
Scared,15.033296,15.132746,19.924859,19.235384,61.773781,57.218878,60.033324,95.005263,11.103000ms,
Surprised,15.000000,15.132746,20.880613,20.615528,61.400326,58.309519,65.069194,93.005376,11.223000ms,
Scared,14.035669,15.132746,21.587033,19.235384,60.901560,57.218878,57.078893,93.021503,11.332000ms,
Surprised,16.000000,15.132746,20.615528,19.697716,61.400326,57.218878,66.068147,93.048375,11.438000ms,
Surprised,15.033296,15.132746,20.615528,19.697716,60.901560,57.218878,68.066144,93.048375,11.543000ms,
Surprised,15.033296,15.297059,20.880613,20.124612,62.649820,58.215118,69.007246,91.005494,11.657000ms,
Surprised,15.033296,15.132746,22.135944,18.788294,64.007812,57.314920,69.065187,91.005494,11.762000ms,
Surprised,15.000000,16.031220,21.377558,20.124612,63.134776,57.218878,69.007246,91.000000,11.871000ms,
Surprised,14.035669,15.033296,21.840330,17.888544,62.649820,57.428216,70.064256,91.005494,11.994000ms,
Surprised,14.000000,14.000000,19.416488,20.615528,61.911227,58.420887,70.028566,94.005319,12.107000ms,
Surprised,14.000000,15.033296,21.840330,17.464249,62.649820,57.314920,70.064256,91.000000,12.208000ms,
Surprised,15.000000,15.132746,20.880613,19.235384,60.901560,56.222771,66.030296,93.005376,12.300000ms,
Surprised,17.117243,16.031220,22.135944,17.888544,61.911227,56.435804,70.028566,92.021737,12.405000ms,
Surprised,15.000000,15.000000,19.646883,20.615528,60.539243,57.558666,71.028163,93.000000,12.515000ms,
Surprised,16.031220,15.132746,21.840330,19.235384,61.400326,56.320511,70.028566,93.005376,12.629000ms,
Surprised,15.000000,14.000000,20.396078,19.697716,61.911227,58.420887,69.028979,93.000000,12.732000ms,
Scared,16.124515,15.033296,20.615528,18.973666,59.682493,56.320511,52.009614,88.022724,12.842000ms,
Sad,14.035669,15.033296,19.416488,18.788294,57.982756,53.338541,40.049969,87.000000,12.949000ms,
Sad,15.033296,15.132746,16.492423,18.384776,54.083269,52.345009,34.058773,88.051122,13.051000ms,
Sad,15.000000,15.033296,19.924859,17.888544,57.688820,53.235327,36.013886,90.049986,13.151000ms,
Sad,16.031220,14.035669,18.439089,19.313208,58.830264,58.420887,30.066593,87.022985,13.270000ms,
Sad,15.132746,15.033296,18.681542,18.027756,58.830264,58.309519,27.073973,87.051709,13.380000ms,
Sad,16.124515,16.031220,18.439089,18.027756,58.668561,57.558666,29.068884,84.053554,13.487000ms,
Sad,16.031220,17.029386,21.587033,19.924859,60.033324,56.435804,38.209946,87.005747,13.597000ms,
Sad,16.031220,15.033296,20.615528,18.027756,60.033324,56.435804,39.115214,85.023526,13.697000ms,
Sad,16.031220,15.033296,20.615528,18.027756,60.033324,56.568542,39.115214,85.023526,13.802000ms,
Sad,15.132746,16.124515,21.840330,20.248457,62.265560,58.309519,37.121422,86.005814,13.906000ms,
Sad,13.038405,12.041595,25.298221,21.023796,70.235319,70.114193,41.303753,89.050547,14.007000ms,
Sad,13.038405,13.152946,21.587033,20.591260,61.400326,61.131007,39.115214,87.005747,14.115000ms,
Sad,15.000000,15.132746,21.377558,19.235384,58.309519,58.215118,39.115214,90.005555,14.212000ms,
Sad,14.142136,14.035669,19.924859,18.384776,60.207973,57.314920,39.115214,90.005555,14.338000ms,
Sad,15.000000,14.142136,19.416488,17.000000,59.169249,54.147945,38.118237,91.005494,14.454000ms,
Sad,15.132746,15.132746,20.880613,18.384776,59.363288,55.145263,38.118237,91.005494,14.554000ms,
Sad,14.142136,14.000000,19.646883,20.615528,58.830264,56.222771,37.121422,90.005555,14.668000ms,
Sad,14.142136,15.033296,19.646883,19.697716,58.830264,56.222771,39.115214,90.005555,14.785000ms,
Sad,14.035669,15.132746,20.880613,19.697716,58.830264,56.222771,39.115214,90.005555,14.881000ms,
Sad,16.031220,15.132746,19.924859,19.697716,57.140179,56.222771,37.121422,90.022219,15.002000ms,
Sad,16.031220,15.132746,19.924859,20.615528,57.140179,56.222771,37.121422,90.049986,15.088000ms,
Sad,16.031220,14.035669,18.681542,18.357560,56.603887,54.230987,38.052595,92.021737,15.184000ms,
Sad,14.142136,14.035669,18.973666,19.235384,58.830264,55.226805,37.121422,92.005435,15.279000ms,
Sad,15.033296,14.035669,20.615528,20.124612,60.207973,55.226805,37.121422,92.021737,15.372000ms,
Sad,15.000000,14.142136,20.396078,18.384776,59.169249,55.226805,37.121422,93.021503,15.458000ms,
Sad,15.000000,14.035669,20.615528,18.384776,60.207973,55.326305,35.128336,92.021737,15.557000ms,
Sad,15.000000,14.000000,20.615528,17.888544,60.207973,54.332311,32.015621,92.021737,15.648000ms,
Sad,16.000000,14.035669,20.615528,17.888544,57.140179,53.460266,30.149627,91.049437,15.746000ms,
Sad,15.000000,14.035669,19.416488,17.464249,57.982756,52.469038,30.149627,90.022219,15.836000ms,
Sad,15.000000,15.033296,20.396078,18.384776,57.454330,52.239832,32.062439,93.021503,15.932000ms,
Sad,15.132746,15.000000,18.681542,18.788294,57.140179,54.451814,31.144823,92.005435,16.040000ms,
Sad,15.000000,14.035669,18.439089,17.888544,55.470713,53.338541,32.062439,90.022219,16.150000ms,
Neutral,15.000000,14.000000,18.439089,16.552945,52.201533,44.911023,33.000000,94.000000,16.251000ms,
Doubt,16.000000,14.000000,19.924859,14.317821,52.009614,42.201896,31.000000,94.047860,16.365000ms,
Doubt,16.031220,14.142136,18.439089,15.231546,49.819675,41.000000,29.068884,95.005263,16.479000ms,
Doubt,16.000000,15.033296,18.681542,15.231546,51.088159,41.231056,31.016125,96.046864,16.597000ms,
Doubt,16.000000,15.033296,19.646883,16.155494,52.497619,41.484937,26.076810,95.021050,16.696000ms,
Doubt,17.000000,15.033296,21.587033,14.866069,51.855569,41.231056,28.071338,96.046864,16.803000ms,
Doubt,16.000000,14.142136,21.840330,16.155494,51.739733,41.231056,30.066593,97.046381,16.926000ms,
Doubt,16.000000,15.033296,19.104973,16.552945,50.328918,40.521599,29.017236,95.005263,17.029000ms,
Doubt,17.000000,15.033296,19.416488,15.652476,48.918299,40.261644,29.017236,95.047357,17.131000ms,
Doubt,16.000000,15.132746,19.646883,16.155494,51.739733,41.231056,31.016125,95.005263,17.225000ms,
Doubt,17.000000,15.033296,19.235384,16.155494,49.578221,40.261644,29.017236,95.047357,17.318000ms,
Doubt,16.000000,15.132746,19.235384,15.231546,49.578221,40.261644,31.144823,95.021050,17.413000ms,
Doubt,16.000000,15.033296,19.235384,16.155494,49.578221,41.231056,31.016125,95.047357,17.526000ms,
Doubt,17.000000,15.033296,20.396078,15.231546,49.578221,41.231056,29.068884,94.047860,17.631000ms,
Doubt,17.029386,15.132746,20.615528,15.231546,49.578221,41.231056,30.149627,94.047860,17.747000ms,
Doubt,17.000000,16.000000,19.416488,17.088007,50.328918,41.484937,29.000000,94.047860,17.854000ms,
Doubt,17.000000,15.000000,18.681542,17.464249,50.328918,42.201896,31.064449,94.021274,17.960000ms,
Doubt,17.000000,14.000000,18.681542,16.155494,49.578221,42.449971,31.000000,96.046864,18.065000ms,
Doubt,17.000000,15.000000,20.615528,17.464249,50.990195,41.000000,31.064449,95.021050,18.185000ms,
Doubt,16.000000,16.000000,20.396078,17.088007,51.088159,41.484937,31.000000,95.021050,18.287000ms,
Doubt,16.031220,16.000000,19.416488,17.464249,49.819675,41.000000,31.000000,96.020831,18.408000ms,
Doubt,16.000000,16.000000,20.396078,17.088007,51.088159,41.484937,31.000000,95.021050,18.507000ms,
Doubt,17.000000,15.132746,21.840330,16.155494,50.328918,41.000000,32.062439,94.000000,18.622000ms,
