Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,Mouth Width,Mouth Height,Timestamp
Happy,11.000000,11.045361,18.027756,17.088007,47.634021,39.849718,48.041649,127.098387,0.038000ms,
Happy,11.000000,11.000000,18.027756,15.231546,47.634021,40.804412,50.249378,127.098387,0.078000ms,
Happy,11.045361,11.045361,16.763055,15.811388,48.270074,39.849718,50.249378,123.101584,0.122000ms,
Happy,12.041595,11.045361,16.278821,16.552945,46.861498,39.293765,50.249378,123.101584,0.167000ms,
Happy,13.038405,10.049876,15.297059,15.652476,46.227697,39.293765,50.249378,123.065023,0.219000ms,
Happy,13.038405,10.049876,16.763055,15.811388,47.507894,39.849718,50.249378,123.065023,0.267000ms,
Happy,12.041595,11.045361,16.763055,15.811388,48.270074,39.849718,50.249378,123.199026,0.311000ms,
Happy,11.000000,12.041595,17.117243,17.088007,47.634021,39.849718,50.249378,125.063984,0.357000ms,
Happy,11.000000,12.041595,17.029386,17.720045,47.634021,39.849718,46.173586,124.064499,0.406000ms,
Happy,11.000000,13.038405,18.110770,16.155494,47.634021,38.897301,48.259714,125.063984,0.453000ms,
Happy,11.045361,12.041595,16.278821,16.552945,46.861498,37.363083,46.043458,121.103262,0.499000ms,
Happy,11.045361,12.041595,16.278821,16.552945,46.861498,37.363083,48.041649,121.202310,0.544000ms,
Happy,12.041595,12.041595,16.278821,16.552945,46.861498,37.363083,48.041649,121.103262,0.592000ms,
Happy,11.045361,10.198039,15.297059,15.652476,46.227697,39.293765,48.041649,121.103262,0.639000ms,
